a,b,c,d
7877,7807,4912,1357
5188,1460,9488,1358
2654,5539,7652,1356
5472,124,3585,1356
9900,5124,8276,1356
7248,7399,1300,1356
8420,5118,4052,1358
9388,9509,4053,1358
7021,4075,7268,1357
9643,4751,2448,1357
6923,8169,1168,1357
2681,394,645,1357
5953,3161,1620,1358
6154,2204,8725,1356
9137,4534,8897,1356
6380,7425,4884,1358
9686,1438,5556,1356
5498,5262,4273,1357
5114,1595,8896,1358
1535,7055,4592,1358
6279,1141,9008,1357
726,3331,3265,1357
1710,4517,5633,1357
2069,9921,2869,1357
696,4357,7332,1357
8681,2432,6432,1358
4968,8404,6497,1356
1244,5842,4193,1358
8270,8871,5936,1358
9744,3440,4548,1357
9571,9017,1060,1358
7162,4520,4052,1356
2610,4674,6769,1356
5172,3947,5140,1357
8948,9052,1381,1358
7953,8539,6705,1358
3480,5976,2672,1357
643,1212,208,1357
8647,6937,3281,1356
3724,8758,1552,1357
8918,6677,6341,1358
5260,313,7873,1358
7571,4569,8512,1356
9403,6937,5360,1358
8222,7801,8417,1356
7270,3996,5473,1356
2180,6548,273,1357
8685,623,5729,1356
3871,9542,9797,1358
4994,2476,1732,1356
7158,5718,8256,1357
9720,8933,3989,1358
9991,5368,5472,1358
7468,1861,933,1358
9246,1271,896,1358
7957,6703,7600,1356
2982,7110,5232,1357
1365,4577,2304,1356
6618,5425,2437,1358
6261,8139,1168,1358
6868,6424,1041,1358
7646,6886,6481,1356
3920,3228,6516,1357
8421,3424,5349,1357
4464,1783,897,1358
9314,8308,6016,1357
3318,6298,9553,1358
6015,3370,6260,1358
8451,820,641,1357
6513,6212,3425,1356
746,8402,5857,1358
9438,4456,1793,1358
8688,8320,9713,1356
9365,9656,8689,1357
8344,8714,2065,1356
8902,4083,2513,1356
9790,4849,5569,1357
8668,946,8112,1358
190,5277,6336,1357
2246,2107,3009,1358
3232,1818,7060,1356
8625,6738,1520,1357
2112,9341,5088,1357
4747,4757,8897,1357
6492,7933,3540,1358
5472,8148,9524,1358
7272,9889,6645,1358
3246,8997,4709,1358
9480,7484,4373,1358
4908,1236,8561,1356
2716,4945,2561,1358
5869,3299,4357,1356
1806,1759,704,1357
696,1786,5893,1356
266,3031,5205,1356
6263,4476,7045,1358
2044,6208,3424,1358
5175,7030,2517,1358
560,8564,8532,1356
1810,2185,2321,1357
142,9200,9473,1358
1319,5799,3585,1357
8753,976,9776,1358
9381,3914,7681,1356
4531,7221,5616,1357
7722,9178,901,1356
1683,6562,8112,1358
1146,223,7649,1356
4023,628,5889,1358
1897,8916,8161,1358
3570,188,5201,1357
519,5846,9808,1358
2144,1021,8676,1356
915,3366,3621,1356
184,7907,3617,1358
6684,9455,3745,1358
6591,7471,9285,1357
1668,2759,6581,1358
4893,8739,6437,1358
5792,3150,8400,1358
5183,3316,9700,1356
2857,7639,6948,1358
8050,8101,2356,1357
2039,56,5344,1358
3401,5585,8369,1358
5944,6314,9604,1357
8607,3787,5893,1358
7342,6241,9360,1356
8980,4624,8065,1357
7089,9906,1777,1358
9206,9245,2645,1357
5328,9107,7505,1358
1806,6635,837,1356
8161,6191,2368,1358
9629,3009,6180,1357
1660,252,805,1356
3063,808,788,1356
4063,1457,496,1358
595,3994,7328,1356
6083,3729,3860,1357
2692,7194,608,1358
3825,6271,9857,1357
7659,3846,5925,1357
7717,8572,2996,1357
9995,964,8705,1358
5580,5696,5905,1358
7815,1272,181,1357
5100,271,6757,1358
5586,3097,3585,1357
5396,8013,6597,1356
5384,2981,6597,1356
8756,7396,6004,1358
1439,6303,1861,1356
8752,4051,8869,1358
6591,1994,4453,1357
6719,7534,1685,1357
9076,7628,2245,1357
1327,2563,6096,1358
5046,9418,1633,1358
596,8983,1088,1357
3219,5223,7332,1356
4845,4199,4516,1357
4675,7128,7329,1358
460,1780,496,1357
8826,2909,4421,1357
3036,4882,2832,1357
4075,5257,260,1356
2834,3222,8161,1358
4847,7831,9889,1357
1075,9081,9984,1356
8102,8443,4,1357
2103,5518,560,1357
4263,2113,6629,1358
7076,191,5969,1358
6770,8781,2773,1358
9367,9669,5077,1356
5683,4167,8661,1357
5191,9521,1829,1357
1099,3370,805,1358
2350,3182,6804,1358
1612,4587,9860,1358
4107,1088,7189,1358
5758,8830,9760,1356
6973,6579,6545,1356
3443,8314,5509,1357
5459,7389,7440,1358
3527,5051,3573,1358
7217,4418,4224,1358
7994,3521,7265,1357
3790,2947,5985,1358
8142,9826,4613,1356
234,169,1957,1356
8259,8319,3168,1356
6399,7499,4401,1357
4353,2333,5748,1356
5287,5199,1380,1358
4646,3741,1169,1356
2102,5922,5296,1358
2678,8136,8401,1358
6244,6393,3184,1358
6149,7740,9377,1358
1757,4331,6981,1357
4016,8731,5984,1358
9161,6629,1552,1357
8291,5339,4356,1358
2835,5030,977,1357
7251,175,6869,1357
5071,4545,2965,1358
507,7337,9141,1356
8910,2050,6916,1357
6055,8251,149,1358
4193,6569,8036,1357
7212,7722,4389,1356
4856,8413,6705,1358
8572,718,6016,1356
4041,3323,3761,1358
2210,2655,3792,1357
3179,4686,9572,1356
629,5246,1429,1357
3916,3757,8581,1357
1070,6731,2880,1357
7477,3242,6817,1358
7893,8222,3361,1356
1604,1992,4657,1358
1607,2792,6849,1358
7256,5951,9621,1357
8980,4058,4260,1356
4575,4088,7857,1358
732,3388,7152,1358
718,9027,2165,1358
3106,7311,4724,1358
891,3971,1968,1357
5396,9950,4933,1357
5656,9267,1936,1356
2519,5340,1876,1357
5858,2505,3073,1357
4021,5910,9120,1357
9019,496,6692,1357
9766,5153,705,1357
6681,4544,305,1358
3497,3392,5568,1358
485,9984,1745,1358
5491,4929,2353,1356
877,2653,7413,1358
2169,849,4501,1358
696,5793,2869,1358
8668,6482,5972,1358
1582,7829,8197,1358
5609,9926,7713,1356
793,2764,1904,1358
6484,7243,8256,1358
4594,7293,309,1357
2796,4381,2612,1357
3027,1899,8293,1358
1488,3771,3760,1357
9288,6977,7445,1357
3813,4684,5284,1357
3311,499,2597,1356
3588,5251,3028,1357
8494,3736,6789,1356
567,8610,8528,1356
9258,4182,6512,1356
1110,5822,4036,1358
403,7789,3489,1357
4024,4977,7280,1357
4518,5802,5552,1356
23,3882,6437,1356
275,8392,8868,1357
1463,6341,9985,1357
4205,8261,6753,1356
7712,5284,2657,1358
8245,1849,7301,1357
120,9049,721,1358
7142,1264,2837,1356
9777,3219,1904,1356
798,6640,6964,1356
2678,5206,6709,1358
8279,4243,9553,1356
3564,4163,21,1358
8984,4589,9953,1358
7070,4941,8481,1357
8436,2069,6357,1357
1114,4117,8928,1356
5691,2795,2593,1358
1305,3539,1888,1357
8557,2380,9616,1358
9043,2965,7444,1357
6467,1669,288,1358
1337,7454,1072,1356
9523,126,8053,1356
6654,6154,7873,1356
1476,919,1028,1358
9462,9279,1973,1356
2553,5291,8992,1357
5195,6818,7601,1356
7767,7981,4932,1357
1864,7291,896,1358
7443,1072,3344,1358
1339,4236,2997,1357
4708,3840,1509,1356
9908,2997,8624,1356
8571,6742,5268,1356
5216,2698,3600,1356
5657,4057,4452,1358
3271,6550,1557,1357
8016,999,7761,1356
5887,6124,596,1358
5833,4302,3617,1358
6027,8948,388,1356
9300,1150,3733,1358
5779,5958,2000,1358
7727,7784,9220,1358
8871,3292,7345,1356
64,2906,4485,1356
879,2,4437,1356
3562,3765,4181,1356
7879,89,592,1356
736,6571,8165,1358
7684,455,4800,1358
8233,7329,6757,1358
8702,3309,7908,1358
6926,9357,2736,1358
726,1159,3377,1357
1501,4585,8308,1358
1227,1971,7025,1357
7709,6805,7237,1357
8450,2679,2593,1358
6829,8968,3585,1358
7817,1742,2801,1357
5774,4646,800,1356
3588,8927,7745,1358
3271,7614,5904,1356
9272,1554,4593,1356
8225,5183,3313,1358
2838,3391,4801,1358
1683,8401,8304,1356
2920,2932,6325,1357
5604,4413,4948,1357
4098,1563,2080,1357
8516,3803,6213,1358
1975,8702,8436,1357
4217,3554,6756,1358
7959,5041,8212,1357
9419,7849,2516,1358
6167,1316,8821,1357
1320,2703,1797,1357
7074,2830,1332,1356
9100,6045,6048,1356
2680,7016,7477,1358
8132,8403,5620,1358
882,4868,5428,1358
6915,694,6277,1358
9679,5460,7077,1357
8332,7092,4736,1356
5399,4823,2336,1357
9225,316,6260,1356
5366,8470,6884,1358
7380,2036,2272,1356
3562,3423,6788,1358
7025,4117,2052,1358
6667,331,1301,1358
1195,2643,4581,1356
5906,7693,3396,1358
8269,4097,2997,1356
2213,6301,8420,1357
4265,7886,6325,1356
5356,338,7360,1358
7984,455,2932,1356
6973,9354,8741,1358
1672,8502,453,1357
3777,5158,97,1358
523,9411,8324,1357
2758,597,8945,1356
1395,3653,225,1358
2887,9885,8368,1358
909,5622,5908,1357
8125,4682,9956,1358
7784,3929,2549,1357
762,5032,4357,1356
7361,7308,240,1357
868,4257,1972,1356
4851,7743,3344,1356
5183,6048,4241,1358
110,1141,2065,1356
3793,8851,9185,1356
487,747,3477,1357
1715,2290,6852,1358
856,3815,3328,1357
9265,2932,8865,1358
7713,4907,3600,1358
3208,2535,8373,1357
3556,6687,3680,1358
5537,6839,880,1356
3097,364,3536,1357
1232,8547,2305,1357
6963,3424,9440,1356
3600,2259,1504,1356
5693,3538,1,1357
1645,8451,7312,1357
5567,5138,864,1356
7463,6827,7584,1356
2351,9516,9029,1357
3653,4487,3765,1357
8595,1753,548,1358
7939,341,6277,1358
7619,1769,1024,1358
2397,9165,4304,1356
2627,5815,6784,1358
8146,1955,756,1358
3020,5904,9652,1356
4375,4294,8053,1356
8852,7601,741,1357
2748,9316,869,1358
486,7024,3685,1356
4997,4244,3332,1358
7251,9062,6177,1357
610,6853,4324,1358
6779,2891,3969,1357
3952,141,1028,1358
8123,2003,1013,1356
8672,7793,4641,1358
5627,8799,8932,1357
2874,9318,4448,1358
2706,9624,3860,1357
9934,8023,4033,1358
4134,1668,7697,1357
1309,8931,9024,1357
9901,6661,9777,1356
2197,7102,7204,1356
2784,9535,5120,1356
2085,3628,5173,1358
9027,218,2853,1357
5555,714,7313,1356
3985,3617,817,1356
3588,9611,3840,1358
5685,746,3824,1356
8190,708,8692,1357
4709,2544,4597,1357
5135,9105,4341,1356
327,6756,3008,1358
4304,8942,917,1358
289,6739,1713,1358
4593,5382,3124,1357
2452,5063,8933,1358
7842,5583,2672,1357
155,3575,9348,1358
7895,5650,5328,1356
3742,1846,9616,1357
5384,8314,5636,1358
1201,9375,2117,1358
3209,2304,2436,1356
185,3047,52,1358
2950,5787,8069,1358
5863,5177,805,1357
8129,76,4592,1358
9770,386,5364,1356
6807,6773,1381,1357
6898,9079,193,1356
9606,3299,228,1358
3986,6729,5713,1357
9077,6649,6848,1357
7983,1955,9057,1356
1304,6595,3104,1356
5087,3807,3201,1358
9906,9636,5153,1356
4990,8474,7057,1358
8110,7934,3120,1356
2704,1554,1972,1356
9606,9362,4800,1357
36,2081,6384,1358
4807,8680,7889,1357
1741,4343,289,1357
7674,4558,7060,1358
2818,6737,9313,1357
8257,7153,6036,1356
1060,9818,3893,1358
3785,5401,2884,1357
1832,7341,3540,1358
1121,3027,3088,1357
6726,5822,1829,1356
2793,1025,1973,1356
7470,2314,7093,1358
2266,9745,6197,1357
5231,2054,8884,1358
6019,439,7265,1358
3936,8741,9249,1357
1571,2762,6784,1356
3420,1333,5873,1358
4122,2183,2565,1356
743,6208,6053,1358
8288,2918,20,1357
3427,7630,7905,1357
3364,5975,5120,1358
6605,8378,8724,1356
718,9090,8837,1357
9565,1928,5329,1358
2997,9510,9520,1357
6351,989,5300,1356
6987,2897,9856,1357
2089,4927,2593,1357
7691,6954,2628,1357
3932,2997,1381,1356
705,5422,3188,1357
176,3846,6833,1357
8821,2302,9841,1358
1298,3539,6033,1356
6811,3150,6705,1357
9313,7731,645,1358
2962,4817,4084,1357
9793,6431,5568,1356
6108,5870,5552,1356
1960,6329,9156,1357
5552,7587,629,1356
1589,8225,1940,1356
1955,5947,212,1357
4283,9352,9877,1358
1051,6599,7264,1357
7902,1703,6868,1358
9576,3056,7504,1357
2045,6765,8213,1358
8241,238,8193,1358
3693,2402,9393,1357
7893,3500,388,1357
1729,5689,4933,1356
7457,6117,3012,1357
5742,7330,6657,1357
5400,5287,6788,1357
7601,7613,9557,1357
1704,6573,8580,1358
3044,7932,5168,1357
4791,5807,7173,1357
8472,7006,9968,1356
822,7154,209,1356
8777,309,1733,1358
4853,5073,1953,1358
7245,2764,593,1356
2715,2688,6181,1356
3097,7594,2932,1358
8305,3222,2673,1358
315,8870,2785,1356
3852,6802,5237,1358
4792,2893,8116,1357
2396,4674,5268,1358
6286,8104,7876,1357
1803,7607,8641,1356
8682,5299,8256,1357
9820,4253,7972,1356
5317,2881,3296,1358
8394,9936,1125,1358
572,8693,305,1357
8093,7533,6404,1357
3863,1206,1425,1357
2925,5318,7393,1358
4057,9439,6388,1357
7722,9351,7040,1356
2717,3719,6401,1357
7684,3932,6645,1356
9441,1573,7925,1356
3794,9700,7361,1358
7853,2926,1013,1357
6551,3608,8853,1357
1059,7029,7761,1358
4336,4997,3585,1357
6871,52,1457,1358
2658,3902,6177,1358
3075,3131,4277,1357
3864,683,2288,1358
5451,7024,4804,1356
6011,9165,8261,1357
5315,4965,5828,1358
228,9952,2645,1356
5021,9536,9472,1357
5463,3989,1349,1356
8088,4740,7472,1357
8737,46,3888,1356
2136,8081,2340,1357
9937,1321,1824,1357
1054,7939,4561,1356
2913,2256,4705,1356
9180,731,7808,1357
1387,9898,6596,1357
1190,3999,2192,1357
348,2081,2209,1356
134,3327,8324,1356
515,3195,7617,1357
3721,1354,9969,1356
5925,2586,1397,1358
7613,7285,500,1358
9287,1646,8037,1356
7244,8707,4320,1357
6988,4222,5856,1357
2544,8739,8528,1357
1181,6688,5281,1358
8903,4255,704,1357
2434,64,8724,1357
5246,7110,8465,1357
6032,2498,2836,1356
2543,5930,9652,1357
5620,8993,2740,1357
1904,2990,5733,1356
7562,1752,2676,1356
786,7018,5232,1357
655,9175,5237,1356
3357,8957,8048,1358
4026,5903,4225,1358
4987,4328,1857,1357
5652,2022,6320,1357
3570,558,8036,1356
313,5146,4176,1356
8783,5833,2736,1357
8661,7185,6148,1358
1663,2541,2545,1357
714,2996,3653,1356
63,6279,9537,1356
8283,206,2213,1357
8171,335,7284,1358
3402,2750,2468,1358
4589,9671,6272,1358
1760,8136,9476,1357
9984,4039,5477,1357
6558,5670,1712,1357
3295,4790,9173,1357
7783,9527,6901,1357
9196,2912,1408,1358
254,7957,6609,1356
165,862,4416,1356
4782,8969,1669,1356
9749,7732,2933,1358
8121,7853,9281,1357
7416,9434,853,1357
3841,5,7989,1357
4080,7701,8516,1358
9907,777,6181,1356
2156,2352,6341,1357
7599,8101,2673,1356
6566,4843,7605,1356
3555,8741,2001,1357
6019,8811,1413,1356
6278,4043,3524,1357
6445,1879,6629,1358
7110,1012,8277,1356
3485,6920,4225,1357
438,1588,2692,1357
502,7065,2960,1356
9592,2101,85,1356
4364,9000,4580,1357
8156,6520,5508,1358
4892,2695,2720,1358
6961,5501,8837,1358
2562,1172,8401,1356
9810,8329,8337,1356
7033,8302,4437,1356
1834,9068,1844,1358
9435,2328,4997,1356
8435,8531,3953,1356
8890,2048,6832,1357
1221,9155,5121,1357
778,6248,3445,1358
6503,4725,7857,1356
8985,5376,9633,1357
3131,1992,5908,1358
1433,201,2549,1357
7893,9503,2464,1356
8631,3308,8657,1358
4133,1710,8737,1358
4212,1334,2976,1356
2734,4092,5792,1357
2306,9593,4737,1357
8952,9976,3429,1356
1166,7311,6464,1356
6014,711,4192,1357
9165,2625,212,1356
4840,1879,7328,1356
3617,99,7141,1356
9727,8671,5121,1358
3750,6944,3477,1358
4668,2461,8453,1357
7281,3398,8720,1358
8622,7914,9268,1357
44,7542,5060,1356
8042,7185,1029,1357
5990,9924,9808,1356
1259,1145,1381,1356
4993,7245,3652,1356
8207,2030,5237,1357
1437,3411,4932,1358
7841,508,8113,1357
4272,8781,7153,1358
1431,6601,5781,1358
611,8107,6352,1358
9041,1013,8432,1358
2989,5841,5189,1357
9209,1219,721,1358
5820,4144,9489,1357
8671,9039,5249,1357
5835,9200,961,1357
5588,2636,6049,1358
7663,5318,7508,1357
7014,7873,2592,1357
1051,3185,9329,1358
3533,501,292,1358
1044,2580,4321,1358
2479,1885,7713,1357
137,2175,2481,1356
8666,3248,1856,1356
2965,8504,8980,1357
9069,2395,1461,1358
6028,808,2912,1356
9316,2975,6469,1356
6043,6814,8176,1358
5345,5356,8132,1356
9865,3879,3409,1356
9105,3241,1060,1356
8297,9718,369,1358
214,5936,1716,1358
8547,8076,6469,1358
2957,6807,7569,1356
5450,2303,9236,1358
1651,3788,7877,1358
5576,6309,6993,1357
778,5581,6225,1358
9233,526,2545,1358
6767,6901,7809,1356
9229,2112,1873,1357
9048,9685,37,1356
3703,8412,2737,1357
7227,4699,16,1356
7213,1277,6916,1358
2835,4119,3909,1356
7356,1795,1621,1357
8427,3539,8533,1358
5661,6534,2021,1356
7402,6153,8388,1356
7202,7828,8720,1358
4605,9708,7796,1356
1088,2579,320,1356
9634,3871,1728,1358
5641,3943,848,1356
5738,4802,3940,1358
3649,2411,7477,1357
6369,9280,5909,1357
6399,1931,9937,1357
10000,4653,2724,1357
5371,703,6241,1356
2953,5276,5680,1358
7119,6875,3845,1358
1116,260,6532,1356
5268,8100,1636,1357
6792,9400,5445,1356
5341,8348,5589,1358
6238,5592,2384,1358
8771,4833,564,1356
1820,5648,5,1358
6900,3120,1169,1356
2549,8824,5205,1358
7511,50,9876,1357
4623,5950,4196,1357
1706,7584,9237,1358
2390,3612,1893,1356
6505,9973,1408,1358
4098,9786,9569,1356
8245,5775,3941,1358
1080,3136,2628,1356
3132,5155,5872,1356
1784,2608,4945,1356
6334,5296,469,1356
880,9298,7792,1357
8380,2228,1109,1358
2653,2637,160,1358
3029,1732,6944,1357
9638,5337,8193,1358
5203,2885,6768,1357
2720,6219,6084,1358
2634,3519,8436,1357
3638,124,5060,1356
873,3446,7845,1357
9523,6650,6737,1358
5728,9288,6916,1356
6846,5841,6053,1358
2995,5637,3185,1356
1313,4096,8193,1358
8197,760,8116,1358
3291,4231,9457,1356
3409,4599,6869,1356
6723,3756,6293,1357
7453,2505,8560,1356
349,4468,3652,1356
9034,1515,416,1356
2535,6906,2821,1357
4066,9851,6373,1358
1393,7547,385,1358
6886,2000,6976,1356
1146,9579,2021,1358
2045,2486,9077,1357
613,3520,1173,1358
3690,4034,5905,1358
9949,3983,5648,1358
2885,4290,2896,1357
77,2867,3632,1356
866,5769,4469,1356
3089,1355,2773,1358
6777,93,2881,1356
2839,9362,1569,1357
8174,2608,7584,1356
9777,6636,8213,1357
7983,8117,32,1356
8082,2413,7184,1357
7732,175,3205,1357
4123,9050,8864,1358
2487,3489,8516,1356
2988,1292,3056,1358
6439,6170,8416,1357
7315,1130,3344,1358
3907,5297,8260,1357
4979,1066,5025,1356
9650,7287,6673,1357
2515,5419,3380,1358
5818,5046,7488,1357
6587,4605,3348,1356
559,9484,3920,1358
2905,143,6625,1358
4658,4474,1444,1358
3385,2985,3169,1356
551,199,4785,1357
3975,6950,3381,1356
4986,5150,4865,1357
8590,9635,2868,1357
2593,6432,2176,1356
9400,6835,9424,1357
5727,921,3056,1357
823,8401,5348,1358
9789,6634,3648,1356
5018,8004,4913,1358
8888,9769,7957,1358
7640,540,1221,1356
7159,1928,5888,1357
7162,2761,3733,1357
1180,3831,7701,1356
8150,3327,9872,1356
5297,7148,2613,1357
2758,184,6196,1358
560,8738,4049,1356
8384,7321,3616,1356
2969,7148,2325,1357
7637,1305,2549,1357
4536,9455,1233,1356
969,3800,4496,1358
4748,1822,3601,1358
4034,2475,4241,1357
613,3313,2721,1356
9186,9089,8933,1356
5629,2473,756,1356
4244,5157,5136,1356
6126,3910,629,1356
4483,7159,5537,1356
4025,1186,8772,1357
2440,2721,6148,1357
2675,6774,2992,1358
3760,2929,4032,1356
9580,4290,2672,1356
9605,974,6608,1358
7110,2144,1860,1356
4004,721,5445,1356
2001,1929,5440,1358
3207,4039,7540,1356
1445,8921,3536,1356
4697,3444,3956,1357
3099,358,7717,1358
5925,5892,449,1357
8039,6036,496,1357
9698,1468,3973,1357
492,1987,2549,1356
662,3043,7621,1357
2257,3421,4741,1356
5784,9311,5316,1356
6280,4271,2448,1358
4975,114,7845,1357
9163,4437,5985,1357
7099,6480,8945,1357
4150,5737,8016,1356
6160,2236,8772,1357
4793,9355,865,1357
8585,6002,9493,1357
9020,5295,2913,1358
2124,3839,7029,1357
913,9680,6804,1358
9639,7300,2501,1358
1692,8982,2981,1358
1256,7438,1568,1358
1020,3339,4453,1357
313,3855,4561,1358
8815,5300,9233,1358
1638,3231,1093,1356
1296,1617,1781,1358
5792,5392,3040,1357
5107,9797,3413,1357
989,6242,8608,1356
2865,3578,2613,1356
2199,6126,8689,1358
3153,3510,2449,1357
7062,4662,9569,1357
1810,5882,3716,1357
917,4068,2661,1356
7651,9648,6948,1358
5261,6756,9825,1358
2741,6653,501,1356
8096,3169,992,1357
1173,299,1957,1358
5499,9172,3008,1356
2507,8348,7521,1358
548,6711,2452,1358
7220,1225,2612,1356
1138,8600,9620,1357
743,9704,6160,1357
1672,4756,8085,1357
7534,8336,580,1356
1410,2381,8933,1357
8966,1994,7665,1358
1552,6178,3617,1357
7275,1785,6084,1356
4253,904,7140,1358
9738,9601,2240,1357
5399,7471,3536,1357
3269,5094,5280,1356
3484,4311,964,1358
8703,491,4708,1358
5037,5456,5365,1357
5556,2322,2965,1356
8996,9693,4389,1358
1750,8022,5124,1357
1123,6772,3156,1356
1086,4545,2580,1357
5858,7888,2500,1358
786,6098,7905,1357
982,8266,8197,1358
4647,2038,3873,1358
7023,7728,6912,1358
4576,1881,8128,1358
4333,2085,4533,1356
6425,9865,3217,1356
1311,4382,7925,1358
2026,7298,309,1357
7964,210,5217,1358
7320,3612,245,1357
2746,9864,5204,1358
5536,3267,3365,1356
3578,7242,4048,1356
5385,4323,8884,1357
3284,3614,149,1358
8937,6466,6516,1357
528,240,7168,1357
8452,211,2340,1356
4465,3318,6304,1357
7294,9971,8720,1356
3593,9290,7937,1358
7937,6313,5120,1357
5923,3322,3120,1357
626,3509,6737,1356
8841,2906,9620,1358
9478,9246,4805,1358
2439,6249,8112,1358
1626,3904,2673,1358
596,569,709,1358
3340,6795,7316,1356
6842,2952,6485,1357
8020,9906,2852,1357
889,5623,8529,1358
6956,6703,5125,1357
1093,7629,2161,1356
5742,6105,2165,1357
6096,6688,2773,1356
5297,6805,532,1357
5582,8572,1429,1356
7120,7657,97,1358
5310,5635,945,1358
533,5828,3776,1357
8847,3233,2097,1357
9837,5071,1397,1358
6919,9540,2005,1358
9423,7338,4773,1358
4870,1716,6049,1358
2965,5333,9280,1357
8936,1830,6277,1357
6477,5170,1076,1357
1383,393,8533,1358
8076,9521,4385,1358
4694,8291,2100,1356
1936,8256,7012,1357
5507,7431,9909,1358
4797,7833,4544,1356
4029,2415,20,1357
9686,8654,6100,1356
8484,1082,4337,1356
1626,3016,8401,1357
1310,2075,9445,1358
721,1180,2501,1356
2884,3915,9140,1357
2848,2471,6964,1356
8633,6575,6320,1356
6227,250,2292,1357
1702,5361,7089,1357
6109,4104,8021,1357
7385,6653,2212,1358
8077,8295,2656,1357
4304,8999,8772,1357
9041,930,2321,1356
4354,2991,9940,1357
4371,1301,7524,1357
2551,7468,8929,1357
7846,5174,3028,1357
7470,9729,5505,1356
5271,3272,4196,1356
8898,8079,5924,1357
1834,3231,7281,1357
1511,9381,37,1358
8028,4731,7392,1358
5155,4408,1569,1358
2767,4733,6389,1356
4940,6664,3505,1357
7097,8412,4724,1358
3527,9694,7280,1357
5180,5253,2405,1356
4889,3055,9104,1356
7874,5322,820,1356
5809,8429,513,1357
1418,6180,5120,1356
6419,1651,9764,1358
8054,3043,561,1358
3648,8451,2085,1358
4358,6393,9541,1357
5918,9949,3413,1357
7039,953,709,1356
3256,9304,9681,1358
216,5260,257,1356
934,7288,5057,1357
8294,2892,660,1358
9133,9889,7777,1358
2170,4426,6161,1356
3235,8144,932,1356
5689,3697,8020,1357
1462,120,1333,1358
6837,6555,5589,1358
5847,776,5060,1358
2528,6969,1568,1358
4730,3976,3120,1356
4690,7000,2976,1357
9882,695,8145,1356
1229,2484,7365,1358
6024,7399,9652,1357
6924,3705,5829,1356
9051,7749,821,1357
8720,102,2180,1357
5620,9026,9953,1357
7282,5090,1457,1357
1738,1321,3617,1357
5047,2353,7492,1358
4271,7327,7109,1358
5078,5748,9796,1358
9953,8061,7953,1356
5266,7028,4405,1357
393,2507,8405,1357
355,3316,7733,1357
7801,4464,7829,1356
9152,4838,7813,1356
8870,2722,1457,1357
3254,8611,9440,1357
5462,1349,4309,1357
2227,4626,901,1356
7071,2697,5489,1357
4508,5870,2517,1358
3397,6372,8960,1358
44,8424,4080,1358
3500,1983,9973,1357
6760,6213,2500,1358
3736,5580,9316,1356
9321,4791,6293,1358
6734,3071,4244,1357
6444,3273,8465,1358
9644,654,4080,1357
3602,2296,3572,1358
757,4032,4964,1358
2,6983,8032,1356
3544,8779,4913,1358
525,942,5716,1358
4574,7136,2916,1357
3876,937,1760,1358
886,6162,6517,1357
4065,6096,4148,1356
8612,7956,5936,1356
1495,3797,8592,1357
6728,4483,7905,1358
1500,9244,8069,1358
4421,9108,5776,1358
681,3779,9296,1356
5825,2702,2309,1356
6781,6861,3604,1356
1645,610,8513,1357
3697,498,5141,1357
2020,2823,5505,1357
5074,7961,3109,1356
9886,6718,2913,1356
2227,5862,3332,1357
1027,4587,6033,1358
8839,4051,2180,1357
7289,4705,2272,1357
8607,9406,1120,1357
2750,864,4725,1358
1289,1232,7089,1356
3510,7173,7360,1358
5841,4162,5189,1356
4474,2680,5380,1357
7679,6712,6784,1357
1782,6085,8064,1356
3422,1094,4628,1357
1075,9312,2336,1358
3847,1495,4256,1357
9510,5264,1828,1357
3981,2314,8305,1358
9883,2142,1633,1356
3110,5635,3345,1358
3772,8559,6640,1357
9842,4800,421,1358
8679,5195,5860,1358
9640,3001,1908,1356
7295,6504,9780,1356
1764,207,2097,1357
1405,8519,1360,1357
1916,428,2545,1357
5763,8700,5345,1357
8169,3568,7984,1357
5452,3075,5925,1358
9935,8904,7600,1356
508,9177,6033,1358
5119,7981,5184,1356
3617,198,3616,1358
5267,8595,2560,1356
4709,7158,9092,1358
3801,2485,8693,1357
1509,311,6852,1357
1603,4094,609,1357
5513,3407,6305,1358
7986,4392,4020,1357
2821,6044,8916,1358
8271,6614,9121,1357
5211,2076,1361,1357
9357,6961,7809,1358
56,9263,7541,1357
8605,1252,2401,1356
81,5279,5889,1357
3554,9632,4865,1356
4848,4073,801,1357
9521,9226,3680,1358
3418,4123,1908,1357
9475,4373,3588,1358
542,4051,7936,1356
2638,642,7588,1358
6401,6631,624,1357
1014,1928,2980,1358
8285,4373,608,1357
3932,7151,9700,1357
860,8859,1296,1358
7659,2203,6929,1356
5117,5189,8321,1358
7750,2776,7220,1356
6449,5940,3797,1358
9492,3383,689,1357
4940,2035,897,1358
8922,1726,9253,1357
3660,9938,3041,1358
6244,2073,3537,1356
6470,5086,5312,1358
743,5426,5252,1356
642,8446,4192,1356
9137,6357,8580,1356
6582,3567,6768,1356
2058,2344,7473,1356
8653,2895,1749,1356
1808,8881,8384,1357
6217,5516,3793,1356
7853,9237,8609,1356
5491,4204,2852,1356
6621,5642,7521,1357
2694,3453,7201,1356
8506,5063,5505,1358
3110,9814,7521,1358
2942,215,6020,1357
6993,7352,5696,1357
6788,3184,2021,1357
11,2260,4881,1358
7982,8879,6693,1358
8098,1673,7556,1356
7251,8500,9925,1358
822,5151,2145,1356
7094,848,6960,1357
